company,id,number_of_board_memebers,average_age_board,total_active_assignments,total_active_assignments_star,total_prev_assignments,proportion_historic_defaults
Bygg & Fönsterteknik i Örebro AB,5590438098,2.0,42.0,5.0,4,4.0,0.0
Happy User AB,5566124243,4.0,46.0,2.0,1,3.0,0.0
Kvarntorps Gårdförvaltning AB,5562516848,3.0,47.0,3.0,2,4.0,0.0
Made Up North AB,5568497407,2.0,49.0,3.0,2,9.0,0.0
Peter Jansson Byggkonsult AB,5590250972,2.0,41.0,2.0,1,3.0,0.0
Elfirman i Örebro AB,5569530420,2.0,46.0,2.0,1,6.0,0.0
JAG Fastigheter AB,5569376105,6.0,50.0,4.0,3,0.0,0.0
Roosolinis Villa & Skorsten AB,5567876700,2.0,48.0,3.0,2,6.0,0.0
Ludwig Entreprenad & Reparationer AB,5569702714,2.0,41.0,2.0,1,3.0,0.0
Wide projects sweden AB,5591040307,2.0,40.0,2.0,1,1.0,0.0
Alexis AB,5569381451,2.0,45.0,3.0,2,0.0,0.0
DJ Glasmästeri 1 o solskydd AB,5590560222,2.0,64.0,4.0,2,1.0,0.0
SäMo AB,5568926223,3.0,36.0,2.0,1,4.0,0.0
Timla Byggservice AB,5591429062,2.0,46.0,4.0,1,9.0,0.0
Svensk vvs installation AB,5590449715,2.0,27.0,2.0,1,5.0,0.0
Närke El & Fastighetsservice AB,5591401863,2.0,40.0,5.0,3,1.0,0.0
Västra Parken Byggkonsult AB,5568326986,2.0,66.0,4.0,2,0.0,0.0
RWent AB,5569978124,2.0,55.0,2.0,1,2.0,0.0
Kileback Elteknik AB,5569158933,2.0,38.0,2.0,1,1.0,0.0
Kanistern AB,5566632062,4.0,66.0,2.0,1,13.0,0.0
KOPPARBERGS MÅLERI AB,5590608609,2.0,59.0,2.0,1,3.0,0.0
Järle bygg AB,5592049869,2.0,33.0,2.0,1,2.0,0.0
Handlaget AB,5569696395,2.0,56.0,2.0,1,1.0,0.0
Markplanerarna i Norden AB,5590131503,2.0,30.0,3.0,2,1.0,0.0
PN & PF Construction AB,5592080054,2.0,43.0,3.0,2,2.0,0.0
Bröderna Lyck AB,5591296842,3.0,45.0,48.0,48,76.0,0.0
LG Söderberg Bygg AB,5590679337,2.0,57.0,2.0,1,1.0,0.0
Energy Holding i Stockholm AB,5568630908,4.0,60.0,9.0,8,1.0,0.0
Peter Nederman Consulting AB,5591839443,2.0,35.0,3.0,2,9.0,0.0
INNOVATIVE PRODUCTS SWEDEN AB,5568257744,2.0,57.0,3.0,2,12.0,0.0
Belles Properties AB,5591050033,2.0,42.0,4.0,3,19.0,0.0
Rörkrökaren i Hallsberg Aktiebolag,5562468099,4.0,48.0,6.0,5,11.0,0.0
ByggResurs i Örebro AB,5567068308,2.0,30.0,4.0,3,0.0,0.0
NEONOM HOLDING AB,5568526676,4.0,48.0,3.0,2,1.0,0.0
House of Emy AB,5567834006,4.0,55.0,6.0,4,13.0,0.0
PG ONE AB,5590206321,2.0,46.0,3.0,2,1.0,0.0
Hemservicio24 AB,5567790547,3.0,56.0,2.0,1,0.0,0.0
JoCad AB,5591124606,2.0,54.0,3.0,2,1.0,0.0
Ergo Innovation Sweden AB,5568401359,2.0,41.0,2.0,1,1.0,0.0
Lekeberg Invest Aktiebolag,5561185215,2.0,52.0,5.0,4,14.0,0.0
Byggfirman i Örebro AB,5590711460,2.0,46.0,2.0,1,6.0,0.0
Ailish och Bengt Olson AB,5591136030,3.0,56.0,2.0,1,11.0,0.0
LG Otterling AB,5569070906,2.0,51.0,2.0,1,7.0,0.0
Cadakuten AB,5569070948,2.0,51.0,2.0,1,3.0,0.0
Mälardalens Ställningsmontage AB,5565881272,2.0,49.0,24.0,14,19.0,0.0
Daniel Holms Entreprenad AB,5569375529,2.0,44.0,2.0,1,0.0,0.0
Creative Clean i Sverige AB,5591737159,2.0,32.0,4.0,3,5.0,0.0
Lars Olsson Trading AB,5591625131,2.0,54.0,2.0,1,20.0,0.0
Energi & Innovation i Norden AB,5592005788,2.0,68.0,2.0,1,6.0,0.0
Lanna Lock & Load Event AB,5569335333,4.0,47.0,2.0,1,12.0,0.0
Osvalla Fastigheter AB,5567169312,2.0,70.0,11.0,10,36.0,0.0
Gräv- och Täckdikning i Örebro Aktiebolag,5563491603,2.0,71.0,3.0,2,3.0,0.0
Bergslagens Sanering AB,5569585804,2.0,63.0,2.0,1,4.0,0.0
Landsbergs Skorsten & Kamininstallation AB,5569118549,2.0,47.0,3.0,2,6.0,0.0
Roommejts Holding AB,5591233555,2.0,37.0,2.0,1,5.0,0.0
TZABAR IT AB,5569719825,2.0,61.0,4.0,1,9.0,0.0
DP CONSTRUCTION AB,5591390074,3.0,47.0,5.0,4,1.0,0.0
Imecon AB,5563130466,3.0,68.0,3.0,2,8.0,0.0
Fallis Entreprenad AB,5590916994,2.0,51.0,3.0,2,2.0,0.0
Aspholmens Mekaniska AB,5567733828,2.0,54.0,4.0,1,11.0,0.0
Tomas Söderqvist Holding AB,5590896550,3.0,41.0,6.0,5,13.0,0.0
Kenny Jansson Holding AB,5567663470,2.0,62.0,2.0,1,2.0,0.0
Team Developers i Örebro AB,5590286232,3.0,49.0,5.0,4,3.0,0.0
Byggtjänst Karlskoga-Degerfors AB,5567222202,2.0,38.0,10.0,9,18.0,0.0
HM Byggproduktion AB,5591761654,2.0,39.0,4.0,3,0.0,0.0
ARB Allt Rör Bygg AB,5590546858,2.0,39.0,3.0,2,2.0,0.0
EuroPeter AB,5568752876,2.0,60.0,3.0,2,6.0,0.0
Inlight Solutions AB,5568137581,2.0,52.0,3.0,2,2.0,0.0
PTM Miljöteknik i Örebro AB,5568038615,2.0,58.0,5.0,4,2.0,0.0
Tegelviken Projektbolag AB,5566157078,7.0,56.0,9.0,8,10.0,0.0
Renberget Projekt Aktiebolag,5591232136,4.0,63.0,11.0,9,21.0,0.0
Fundator AB,5568519069,4.0,46.0,13.0,12,14.0,0.0
58 Grader Plåtslageri AB,5590725866,3.0,33.0,4.0,3,2.0,0.0
Logsjö Tak & plåtslageri AB,5564302890,2.0,42.0,4.0,3,7.0,0.0
Trafikbutiken Mälardalen AB,5592098320,5.0,53.0,5.0,4,5.0,0.0
Silkflower Fastigheter AB,5590240080,2.0,51.0,14.0,7,17.0,0.0
Vulkjohan i Degerfors AB,5590795521,2.0,44.0,3.0,2,3.0,0.0
58 Grader Entreprenad AB,5590601547,3.0,33.0,3.0,2,1.0,0.0
ByggTema i väst AB,5591094858,3.0,52.0,14.0,13,7.0,0.0
AM-AN Förvaltning AB,5564389749,2.0,53.0,18.0,17,39.0,0.0
BORI AB,5591556724,2.0,37.0,2.0,1,2.0,0.0
Övre Forsa Invest AB,5565496501,3.0,65.0,6.0,5,3.0,0.0
Skyttbrink Företagspark Holding AB,5590822531,2.0,39.0,9.0,7,13.0,0.0
Nåiden Bygg Aktiebolag,5563264216,6.0,53.0,36.0,35,37.0,0.0
NYAB Sverige AB,5563946267,5.0,40.0,18.0,17,29.0,0.0
MineDrill Gve AB,5567818405,4.0,65.0,16.0,15,7.0,0.0
Aktiebolaget Infjärdens Värme,5560741935,7.0,50.0,6.0,5,11.0,0.0
Havator Aktiebolag,5562638246,4.0,51.0,2.0,1,2.0,0.0
Norrbottens Bergteknik Aktiebolag,5564289063,3.0,49.0,18.0,17,14.0,0.0
Bergnäset Ställningsmontage AB,5563932838,4.0,54.0,2.0,1,8.0,0.0
P.Å. Hellströms Bygg Aktiebolag,5562469105,5.0,44.0,4.0,3,5.0,0.0
NYAB Infrastruktur AB,5591246797,7.0,42.0,2.0,1,4.0,0.0
Northern Transport Group AB,5568333925,4.0,39.0,6.0,5,6.0,0.0
HÖ Allbygg Aktiebolag,5561031807,6.0,56.0,9.0,8,9.0,0.0
Lindbäcks Boende AB,5566870209,7.0,59.0,2.0,1,0.0,0.0
Arctic Infra AB,5590465315,4.0,39.0,5.0,4,5.0,0.0
Umia Nord AB,5590030440,6.0,50.0,4.0,3,7.0,0.0
BD Bygg AB,5565533956,5.0,57.0,8.0,7,10.0,0.0
Skarta AB,5567669303,3.0,52.0,3.0,2,6.0,0.0
NEK AB,5569435216,4.0,44.0,2.0,1,0.0,0.0
G L B i Norrbotten AB,5566099726,6.0,57.0,3.0,2,3.0,0.0
Nordisk Akustik & Klinker AB,5568200447,2.0,43.0,16.0,15,23.0,0.0
Orefields Raise Boring AB,5568230295,4.0,52.0,2.0,1,2.0,0.0
NELAB Försäljnings Aktiebolag,5561669028,4.0,52.0,6.0,5,1.0,0.0
Kauppi Entreprenad AB,5565760104,4.0,55.0,6.0,4,2.0,0.0
Oh My Interactive AB,5567086433,5.0,37.0,25.0,21,43.0,0.0
Lars Almgrunds Åkeri Aktiebolag,5565562054,2.0,44.0,16.0,15,7.0,0.0
LICAB AB,5567331466,6.0,53.0,3.0,2,5.0,0.0
Storfors Plåtslageri Aktiebolag,5560849795,2.0,61.0,4.0,3,2.0,0.0
Maskingruppen i Luleå AB,5590513155,2.0,65.0,7.0,6,10.0,0.0
ANdreas SAmuel BYGG AB,5564337987,5.0,44.0,3.0,2,2.0,0.0
M.A.F Arkitektkontor AB,5565288387,6.0,49.0,13.0,8,16.0,0.0
VägSäk AB,5567418032,3.0,53.0,3.0,2,1.0,0.0
Edito Bygg AB,5568635378,5.0,51.0,5.0,4,29.0,0.0
Säkerhetspartner Norden Aktiebolag,5564194057,5.0,45.0,6.0,5,4.0,0.0
Norrbottens Entreprenörspartner AB,5569508723,2.0,42.0,6.0,5,9.0,0.0
Porjus Entreprenad Aktiebolag,5564291861,3.0,64.0,3.0,2,4.0,0.0
aochd Arkitektkontor AB,5567226013,4.0,55.0,6.0,4,10.0,0.0
Bottnia Kross Aktiebolag,5564636644,2.0,69.0,5.0,4,8.0,0.0
Norrbottens Anläggning och Mark AB,5565632352,3.0,56.0,5.0,4,7.0,0.0
Lapplands Lastmaskiner i Jokkmokk Aktiebolag,5564617156,4.0,48.0,3.0,2,1.0,0.0
Lås & Nyckel i Luleå AB,5565506044,2.0,52.0,10.0,9,18.0,0.0
Sanfridssons Måleri Aktiebolag,5562745272,4.0,59.0,6.0,5,9.0,0.0
Piteå Maskinarbeten AB,5568003304,2.0,61.0,3.0,2,1.0,0.0
BPL Sverige AB,5569766818,4.0,59.0,3.0,2,0.0,0.0
Svenska Norrbygg AB,5562804962,3.0,42.0,4.0,3,5.0,0.0
JE Scandinavia Electro AB,5591950158,4.0,30.0,4.0,3,2.0,0.0
Bromab Invest AB,5567439327,2.0,40.0,3.0,2,6.0,0.0
Norr entreprenörer AB,5569629677,2.0,33.0,2.0,1,5.0,0.0
Kiruna Målbygg AB,5566106489,3.0,41.0,3.0,2,0.0,0.0
Norrbottens Larmkonsult AB,5566277090,2.0,52.0,5.0,4,3.0,0.0
KP Electro Installation AB,5591659130,3.0,48.0,4.0,1,0.0,0.0
Lillpite Rör AB,5568435514,3.0,46.0,3.0,2,6.0,0.0
Lindströms Plåtslageri i Gällivare Aktiebolag,5562899020,3.0,43.0,4.0,3,5.0,0.0
Elkoll i Pajala AB,5591702237,3.0,35.0,7.0,6,3.0,0.0
EPN Solutions AB,5567406342,3.0,59.0,4.0,3,3.0,0.0
Convitro AB,5568700008,6.0,48.0,3.0,2,3.0,0.0
Norrbottens Byggprojektering AB,5566979455,4.0,52.0,2.0,1,2.0,0.0
Svenska Marinvaror i Luleå AB,5569557308,3.0,47.0,5.0,4,6.0,0.0
BPL Norr AB,5590514351,3.0,56.0,2.0,1,0.0,0.0
S-pipe Sverige AB,5567271944,2.0,50.0,4.0,3,6.0,0.0
Pitedalens Måleri AB,5564021482,2.0,41.0,6.0,5,7.0,0.0
BYGGSTROY AB,5591245286,3.0,38.0,6.0,2,1.0,0.0
TTV Värmeteknik Aktiebolag,5564897303,2.0,53.0,4.0,3,7.0,0.0
Fire Safety Nordic Luleå AB,5590349501,4.0,41.0,13.0,7,4.0,0.0
MultCon Multi Consulting AB,5569307480,3.0,35.0,15.0,8,4.0,0.0
Tekniska Tak i Luleå AB,5565358735,3.0,41.0,3.0,2,1.0,0.0
PFK Spår i Kiruna Aktiebolag,5566576863,2.0,41.0,3.0,2,1.0,0.0
Sunt Boende i Sverige AB,5590844915,6.0,61.0,5.0,4,282.0,0.0
Lapplands Eltjänst Aktiebolag,5565721544,2.0,54.0,8.0,7,19.0,0.0
NTM Entreprenad AB,5568888373,3.0,43.0,2.0,1,1.0,0.0
X-Treme i Luleå AB,5567607600,2.0,50.0,2.0,1,1.0,0.0
Lindströms Golv & Bygg i Råneå Aktiebolag,5563537306,3.0,65.0,9.0,8,4.0,0.0
Nord Kran AB,5569259269,2.0,41.0,2.0,1,1.0,0.0
Industrial Management Solutions Sweden AB,5590170626,5.0,59.0,2.0,1,2.0,0.0
Skyltteknik Nordic AB,5566183421,3.0,59.0,3.0,2,3.0,0.0
NUAB Fallskydd AB,5590614102,3.0,53.0,3.0,2,2.0,0.0
Anläggningsmetodik i Luleå AB,5564082385,3.0,59.0,3.0,2,1.0,0.0
Klöverträsk Byggteam Aktiebolag,5563255156,4.0,41.0,2.0,1,0.0,0.0
Tekniska Golv i Norrbotten AB,5591126437,3.0,50.0,3.0,2,1.0,0.0
Byggmästarna Lundgren Entreprenad Aktiebolag,5565333779,3.0,65.0,5.0,4,5.0,0.0
PL Eldfast AB,5566324249,2.0,52.0,2.0,1,4.0,0.0
Kylmontören i Piteå Aktiebolag,5564169620,3.0,44.0,4.0,3,0.0,0.0
N&S Projektledning AB,5568583545,3.0,53.0,4.0,2,0.0,0.0
NMH Bygg AB,5566037171,2.0,60.0,2.0,1,1.0,0.0
LBM - Larssons Bygg & Mätservice AB,5567342463,3.0,45.0,2.0,1,2.0,0.0
CCN Entreprenad Aktiebolag,5564944345,3.0,47.0,8.0,7,24.0,0.0
L.E Bygg- Rep & Uthyrning AB,5564358025,2.0,50.0,7.0,6,25.0,0.0
Malmfältens Måleri Aktiebolag,5563139103,4.0,52.0,5.0,4,10.0,0.0
HGS Norrbotten AB,5591646830,2.0,35.0,3.0,2,0.0,0.0
Edifix AB,5565713293,2.0,66.0,10.0,9,6.0,0.0
Rensman Norr AB,5569165300,2.0,54.0,2.0,1,6.0,0.0
Nordmark & Nordmark arkitekter AB,5568282643,4.0,40.0,2.0,1,3.0,0.0
Brännströms Industriteknik AB,5568004336,3.0,39.0,2.0,1,3.0,0.0
Aquae i Norr AB,5591754931,2.0,40.0,3.0,2,2.0,0.0
Elteknik i Piteå Aktiebolag,5565849360,3.0,44.0,4.0,3,0.0,0.0
bredåker entrepenad AB,5590634837,2.0,39.0,3.0,2,0.0,0.0
Gällivare Eltjänst AB,5591112429,2.0,49.0,2.0,1,1.0,0.0
TR Maskin AB,5563564821,2.0,55.0,3.0,2,1.0,0.0
Selbergs Bygg AB,5564486289,2.0,59.0,3.0,2,0.0,0.0
GMT Granis marktjänst AB,5590590203,2.0,28.0,2.0,1,1.0,0.0
Din Kran AB,5590747241,5.0,42.0,3.0,2,2.0,0.0
Persöfrakt Aktiebolag,5563176568,4.0,55.0,4.0,1,6.0,0.0
Luleå Design & Specialsnickerier AB,5568298565,2.0,52.0,2.0,1,1.0,0.0
N. Källhammer Entreprenad AB,5569483075,2.0,49.0,3.0,2,0.0,0.0
Ramnelius Elektriska Aktiebolag,5561783191,3.0,60.0,3.0,2,1.0,0.0
HRG:S Ingenjörsbyrå Aktiebolag; Göran Burvall,5561074849,4.0,66.0,2.0,1,4.0,0.0
J Wäyrynen AB,5590156880,2.0,46.0,3.0,2,1.0,0.0
Värmepumpar i Norr AB,5568572175,4.0,45.0,2.0,1,3.0,0.0
Alltjänst i Gammelstad AB,5569172389,3.0,56.0,8.0,4,3.0,0.0
Plan- och bygglaget i norr AB,5591079297,3.0,31.0,3.0,2,1.0,0.0
Scandinavian Rail Service Sweden AB,5591824312,3.0,36.0,5.0,4,0.0,0.0
Älvsby Traktor Aktiebolag,5564766748,2.0,78.0,3.0,2,1.0,0.0
Biovärme Service & Underhåll Sverige AB,5569643314,3.0,43.0,3.0,2,1.0,0.0
Littak Consult AB,5591004154,6.0,45.0,2.0,1,5.0,0.0
Markresurser i Kiruna AB,5590492533,2.0,31.0,2.0,1,0.0,0.0
Jan Pettersson Consulting i Luleå AB,5565934592,2.0,47.0,2.0,1,6.0,0.0
RaSK Teknik i Norr AB,5591478622,2.0,55.0,5.0,4,7.0,0.0
Svensk Mark & Schakt AB,5568520711,2.0,63.0,3.0,2,5.0,0.0
S-pipe AB,5592057425,2.0,50.0,6.0,5,19.0,0.0
Tre Part Hus & Bygg produktion AB,5566755558,2.0,57.0,3.0,2,2.0,0.0
Pro Development i Sverige AB,5566329545,3.0,57.0,2.0,1,4.0,0.0
SIGMAR Metod & Innovation AB,5591015911,6.0,38.0,2.0,1,4.0,0.0
Aulis konsult & utveckling AB,5590662499,2.0,50.0,10.0,9,10.0,0.0
El- & Styrsystem i Arjeplog AB,5567658611,2.0,68.0,3.0,2,1.0,0.0
NSS Nordic Steel System AB,5566791538,3.0,45.0,10.0,4,20.0,0.0
Infraprojekt i Luleå AB,5566822705,3.0,53.0,2.0,1,0.0,0.0
Hedmans Svets & Montage AB,5591184212,2.0,50.0,2.0,1,2.0,0.0
Gammelstads Måleri och Tapet AB,5591332704,2.0,48.0,2.0,1,0.0,0.0
Vadam AB,5567279988,2.0,57.0,3.0,2,1.0,0.0
Snäll & Partner AB,5568681489,4.0,58.0,2.0,1,2.0,0.0
Westman VVS Kalix AB,5590646658,2.0,49.0,2.0,1,2.0,0.0
Sitecon Management AB,5591620801,2.0,49.0,2.0,1,9.0,0.0
Bra Tak i Kiruna AB,5567086284,2.0,56.0,2.0,1,0.0,0.0
Aulis i Norr AB,5568635352,3.0,49.0,10.0,9,10.0,0.0
Zandelins ByggnadsPlåtslageri AB,5569750796,2.0,40.0,2.0,1,5.0,0.0
Sundbergs Entreprenad AB,5590832787,2.0,44.0,2.0,1,2.0,0.0
Granholmen Konsult AB,5567806863,2.0,49.0,2.0,1,2.0,0.0
AIGAB Entreprenad i Gammelstad AB,5591853147,3.0,56.0,8.0,4,3.0,0.0
Bergnäsets Last & Grävmaskiner Aktiebolag,5565056958,3.0,66.0,3.0,2,1.0,0.0
City Service i Luleå AB,5569626715,2.0,39.0,2.0,1,5.0,0.0
Style of Norrland AB,5591548101,3.0,40.0,2.0,1,1.0,0.0
MECAT AB,5591554133,2.0,29.0,5.0,4,0.0,0.0
Construtec Sweden AB,5569634933,2.0,49.0,3.0,2,0.0,0.0
Nya Malmström Plåt och Ventilation Aktiebolag,5564753860,2.0,62.0,3.0,2,5.0,0.0
Petrichor AB,5567296883,2.0,54.0,3.0,2,2.0,0.0
Teknik & Text i Luleå AB,5567807085,3.0,71.0,2.0,1,2.0,0.0
Lakafors Kök AB,5591486211,3.0,41.0,6.0,4,6.0,0.0
Hortlax Plattsättning Entreprenad AB,5566343546,2.0,69.0,2.0,1,1.0,0.0
Dykab i Stockholm AB,5563729234,3.0,52.0,3.0,2,2.0,0.0
Ednam AB,5567310171,2.0,54.0,2.0,1,3.0,0.0
DigiCraft AB,5567728158,2.0,53.0,2.0,1,5.0,0.0
Procidens AB,5590968029,2.0,41.0,6.0,5,7.0,0.0
Janis Måleri och Bygg i Norrbotten AB,5591986699,2.0,60.0,2.0,1,1.0,0.0
Hedmans Maskin och Transport Älvsbyn AB,5591816060,2.0,43.0,2.0,1,0.0,0.0
Johans MaskinEntreprenad i Norr AB,5591431407,3.0,46.0,4.0,1,1.0,0.0
Lule Bygg & Barackstäd AB,5568173891,2.0,44.0,4.0,3,4.0,0.0
PJ INTRA i Norr AB,5590417472,2.0,62.0,2.0,1,3.0,0.0
Bahkka AB,5591939920,5.0,45.0,3.0,2,0.0,0.0
Audax Fastigheter AB,5567687651,2.0,69.0,4.0,3,13.0,0.0
Nordiska Måleri i Luleå AB,5591272959,2.0,43.0,3.0,2,0.0,0.0
Lillpitebolaget AB,5566591128,3.0,46.0,3.0,2,6.0,0.0
Plåtslagare Zandelin AB,5591995708,2.0,40.0,2.0,1,5.0,0.0
Nordic Infra Consult AB,5590368949,2.0,51.0,3.0,2,5.0,0.0
Kribbes Rör AB,5568848484,2.0,52.0,2.0,1,4.0,0.0
K-G Ek:s Test & Fastighets Aktiebolag,5566272869,2.0,69.0,7.0,6,7.0,0.0
Rawland AB,5569262453,2.0,59.0,4.0,3,7.0,0.0
Gunnar Bohmans Fastigheter AB,5564808607,2.0,59.0,4.0,3,2.0,0.0
Mikael Söderberg Entreprenad AB,5567282388,2.0,64.0,2.0,1,6.0,0.0
Stridsman Consulting AB,5591680862,2.0,35.0,3.0,2,2.0,0.0
3DX Sweden AB,5567012405,2.0,55.0,4.0,3,7.0,0.0
FIERRAS PROJEKTUTVECKLING AB,5590194048,2.0,56.0,8.0,7,0.0,0.0
Tage Isaksson Arkitektkontor AB,5568280787,2.0,73.0,2.0,1,3.0,0.0
JFJ Consulting AB,5590545207,3.0,40.0,4.0,1,2.0,0.0
SLÄTTHOLMS MASKINTJÄNSTER AB,5569601262,2.0,55.0,7.0,6,1.0,0.0
deo interactive AB,5561300988,2.0,59.0,3.0,2,4.0,0.0
LEAA Vuollerim AB,5591048441,2.0,67.0,2.0,1,3.0,0.0
Häggmark & Häggmark AB,5568462476,2.0,57.0,7.0,6,8.0,0.0
Himlakatten Holding AB,5568044415,2.0,39.0,2.0,1,4.0,0.0
GIVE Competence Scandinavia AB,5568063050,3.0,37.0,3.0,2,8.0,0.0
Luleå Rörteknik AB,5591625420,2.0,45.0,2.0,1,1.0,0.0
Ps. Design & Illustration i Luleå Aktiebolag,5564203726,2.0,60.0,4.0,1,5.0,0.0
HANSSONS PROJEKTLEDNING AB,5592126154,2.0,64.0,2.0,1,7.0,0.0
Louset AB,5567569016,2.0,62.0,4.0,1,7.0,0.0
Hållbar Utveckling I Norr AB,5561926352,3.0,67.0,2.0,1,5.0,0.0
Eluno AB,5563732444,2.0,74.0,2.0,1,1.0,0.0
GSPRO AB,5591027866,3.0,38.0,6.0,2,0.0,0.0
Erikssons Maskintjänst i Jokkmokk AB,5569304917,2.0,60.0,3.0,2,1.0,0.0
Töyräs Åkeri Aktiebolag,5562170570,3.0,55.0,2.0,1,0.0,0.0
Innerstadsfjärden AB,5569301293,4.0,61.0,13.0,12,12.0,0.0
Pender Invest AB,5565028353,2.0,59.0,7.0,6,11.0,0.0
PSD Sweden AB,5563957173,2.0,57.0,2.0,1,2.0,0.0
Henrikssons Bygg & Markteknik AB,5568148232,2.0,71.0,3.0,2,5.0,0.0
infraresources nordic AB,5561110924,2.0,42.0,2.0,1,2.0,0.0
Nordiska Miljöbygg Aktiebolag,5564035060,2.0,71.0,2.0,1,7.0,0.0
Walloschke A + P AB,5591993398,2.0,53.0,3.0,2,1.0,0.0
Guldhjälmen Invest AB,5568452741,2.0,43.0,5.0,4,2.0,0.0
RGB Mark AB,5590979208,2.0,66.0,3.0,2,6.0,0.0
Ahlins Försäljnings AB,5568755150,3.0,43.0,6.0,5,19.0,0.0
Chiron Invest AB,5590194030,3.0,46.0,3.0,2,2.0,0.0
Luleå Spårprofil Aktiebolag,5563810646,3.0,43.0,6.0,5,19.0,0.0
Threshold AB,5564817368,2.0,69.0,2.0,1,1.0,0.0
Aktiebolaget Gällivare Gräv & Last,5562379254,3.0,67.0,3.0,2,18.0,0.0
Hix Island AB,5590965439,2.0,53.0,3.0,2,9.0,0.0
Uddevägen Konsult AB,5590974746,2.0,42.0,2.0,1,1.0,0.0
Housing Sweden Group AB,5591380976,3.0,61.0,4.0,1,6.0,0.0
NordCils AB,5590037197,2.0,63.0,3.0,2,3.0,0.0
K Lindblad Berg och Markkonsult AB,5567484281,2.0,69.0,2.0,1,0.0,0.0
K4 Investment AB,5591311609,2.0,40.0,4.0,1,1.0,0.0
Projekt- och Byggledning i Sverige PBL AB,5567419782,2.0,54.0,3.0,2,0.0,0.0
Isolersystem Skellefteå AB,5591210553,3.0,49.0,3.0,2,18.0,0.0
ÖINAB AB,5569976276,3.0,47.0,2.0,1,3.0,0.0
Lennart Englund Bygg Aktiebolag,5564358587,4.0,52.0,8.0,7,21.0,0.0
Tri Invent Aktiebolag,5565018628,2.0,72.0,3.0,2,6.0,0.0
Bodenhus AB,5562798768,3.0,59.0,8.0,6,16.0,0.0
Svenska Norrbygg Resurs AB,5590249719,2.0,44.0,8.0,3,8.0,0.0
Bothnia Wood AB,5566962949,2.0,59.0,2.0,1,3.0,0.0
Bröderna Frimodigs Måleri och Bygg AB,5569713059,2.0,29.0,2.0,1,1.0,0.0
Sankt Ibb Förvaltning AB,5563735454,2.0,50.0,3.0,2,5.0,0.0
Predge Holding AB,5569272635,5.0,56.0,3.0,2,0.0,0.0
Investab AB,5590501242,2.0,36.0,3.0,2,7.0,0.0
Polarhus AB,5590193339,2.0,53.0,4.0,3,7.0,0.0
Arctic Moon AB,5590492616,2.0,53.0,3.0,2,0.0,0.0
Piteå Golv & Kakel AB,5568348295,3.0,53.0,16.0,15,23.0,0.0
Norbotnia AB,5591941108,3.0,39.0,2.0,1,0.0,0.0
Nordic-Battleland AB,5568264690,2.0,35.0,2.0,1,1.0,0.0
Kiruna Håltagning AB,5592057037,4.0,35.0,6.0,2,1.0,0.0
H&J ARKITEKTER INGENJÖRER AB,5568797087,3.0,51.0,2.0,1,2.0,0.0
HPN & PSM Holding AB,5563088938,4.0,52.0,2.0,1,0.0,0.0
R. Lundgrens Arkitektkontor Aktiebolag,5561626739,3.0,65.0,5.0,4,5.0,0.0
MANAB AB,5590960547,3.0,45.0,9.0,8,2.0,0.0
Grovgrus entreprenad Luleå AB,5590996665,2.0,23.0,7.0,6,1.0,0.0
Consto AB,5565294443,4.0,59.0,8.0,7,1.0,0.0
KEWAB; Kenneth Wahlström Aktiebolag,5563786093,3.0,54.0,3.0,2,2.0,0.0
Infrakraft Sverige AB,5590908686,3.0,43.0,18.0,17,23.0,0.0
LG Contracting AB,5566146444,5.0,53.0,8.0,7,3.0,0.0
KEWAB AB,5563383313,3.0,54.0,3.0,2,2.0,0.0
Elms Byggnadsfirma Aktiebolag,5563002210,3.0,59.0,10.0,9,3.0,0.0
WermlandsBygg i Sverige AB,5567935498,2.0,63.0,7.0,6,5.0,0.0
TechnoAlpin Nordic AB,5590030341,2.0,42.0,6.0,5,0.0,0.0
Doppelmayr Scandinavia AB,5563224681,3.0,67.0,3.0,2,5.0,0.0
BBM i Karlstad AB,5564735131,6.0,54.0,4.0,3,11.0,0.0
A K J Energiteknik Aktiebolag,5562612910,5.0,49.0,6.0,4,7.0,0.0
SP-Gruppen AB,5590655394,5.0,45.0,3.0,2,2.0,0.0
Aktiebolaget Karlstads Byggtjänst,5562508019,3.0,55.0,4.0,3,5.0,0.0
Hesselius Entreprenad Aktiebolag,5561886549,2.0,73.0,3.0,2,5.0,0.0
AB Häggmark & Söner,5564617982,3.0,62.0,6.0,5,2.0,0.0
Rohm & Co Bygg Aktiebolag,5565659363,3.0,58.0,3.0,2,1.0,0.0
Fläkt Teknik Entreprenad i Karlstad AB,5564009040,3.0,58.0,4.0,3,5.0,0.0
Sten & Vägarbeten AB,5568741481,3.0,55.0,8.0,7,6.0,0.0
Stenteknik i Karlstad AB,5567019566,3.0,48.0,3.0,2,3.0,0.0
Karlstads Rörmontage Aktiebolag,5561236034,3.0,55.0,2.0,1,3.0,0.0
Jordkullen Aktiebolag,5560589284,3.0,61.0,3.0,2,3.0,0.0
Emtbjörks AB,5561553529,6.0,59.0,4.0,3,2.0,0.0
ByggCompaniet Göran Malmstedt AB,5567180384,6.0,55.0,4.0,3,3.0,0.0
Westcon Entreprenad AB,5590942842,3.0,45.0,6.0,4,3.0,0.0
